url,country,phishing,reference,language
mak-office.cz/Skolni-sesity,CZ,False,True,False
www.pacr.cz/sms-pujcka-5000kc-nachod,CZ,False,True,False
www.tuningshop.cz/xenonove-vybojky-h8-h9-h11/,CZ,False,True,False
lezeckarevue.cz/cesty.php?code=109,CZ,False,True,False
www.hofyland.cz/?public&kat=116&login=7c60f8e0c498a80c9cfa9b4954599d88,CZ,False,True,False
www.officepro-brandys.cz/archivacni-krabice-q-connect-s-vikem-bilozelena--2730261.html,CZ,False,True,False
www.veterankalendar.cz/index.php?id=5&id_p=7265,CZ,False,True,False
autocrm.cz/e-mail-marketing/,CZ,False,True,False
www.3dakvaria.cz/clithon-sp--thorn-clithon-sp--thorn/,CZ,False,True,False
www.werktuigen.cz/texmato-m/wt-162-0277,CZ,False,True,False
www.okfkladno.cz/?p=185,CZ,False,True,False
slkchrastava.cz/ing-marketa-sochorova/,CZ,False,True,False
elo.rosada.cz/lide/id.php?id=47098,CZ,False,True,False
public.psp.cz/sqw/interp.sqw?o=8&s=19&dx=20180920,CZ,False,True,False
www.komik.cz/sms/48/,CZ,False,True,False
zlatnictvigajdovi.cz/148-citizen,CZ,False,True,False
soutez.cz/?prlId=75&cceLink=fizbuzz.weebly.com,CZ,False,True,False
pinecdablice.cz/index.php?akt=1150,CZ,False,True,False
nch.cz/var-moderator-plynu,CZ,False,True,False
www.chcipovleceni.cz/pletaci-prize-yarnart-allegro-melirovana-50g-145m.html,CZ,False,True,False
www.jitrenkabucovice.cz/index.php?page=104,CZ,False,True,False
mcfee.cz/nahled.php?id=226&galerie_id=1,CZ,False,True,False
jokes.jahho.cz/?kat=top&s1=&s2=,CZ,False,True,False
www.pragueopenair.cz/wp-admin/admin-ajax.php?action=eventon_ics_download&event_id=4667&ri=0&nonce=fe79630728,CZ,False,True,False
jiznislovacko.cz/prv/prv-aktualne,CZ,False,True,False
www.cupress.cuni.cz/ink2_ext/index.jsp?include=podrobnosti&id=205673,CZ,False,True,False
dvojka.rozhlas.cz/cro_soundmanager/files/8016885/field_main_audio,CZ,False,True,False
zapomnicky.pamatnik-terezin.cz/index.php/hroby/hroby/196-opatovec,CZ,False,True,False
www.roithova.cz/o_mne_v_mediich/107/?aklik=2,CZ,False,True,False
ikatalog.bvv.cz/urbis/sensority-s-r-o/_fda9656&fir=49681,CZ,False,True,False
masaze-na-kozine.cz/doprovod/tk-handjob.php,CZ,False,True,False
dotazniky.cpkp.cz/index.php/programy-stc/zapojovani-verejnosti/198-pakt-participace-komunikace-transparentnost,CZ,False,True,False
ksoc.ff.cuni.cz/okatedre/historicke-milniky-katedry/,CZ,False,True,False
www.vinarskepotreby.cz/wuxal-kalcium-250-ml.html,CZ,False,True,False
www.schmiedmann.cz/cs/manualniprevodovka-pg1068-catn-oa,CZ,False,True,False
fgcz.cz/mkx-klasicke-mk1-fatality-jsou-zpet/,CZ,False,True,False
www.cupress.cuni.cz/ink2_ext/index.jsp?include=podrobnosti&id=550200,CZ,False,True,False
mazivaonline.cz/plasticka-maziva/205-shell-gadus-s2-v100-2-lrh.html,CZ,False,True,False
help.czechgroup.cz/cs/login?backlink=zyeyi&domain=help.czechgroup.cz,CZ,False,True,False
www.mbank.cz/osobni/ucty/,CZ,False,True,False
