url,country,phishing,reference,language
gjoelspejderne.dk/fjeldtur2014-131/,DK,False,True,False
wardinghus.dk/pages/beskriv/pa040105.htm,DK,False,True,False
motionsmekka.dk/danske-bank-odense-aabningstider/,DK,False,True,False
nutiden.dk/pages/min-konto,DK,False,True,False
narrehat.dk/dk/index.html?cache=7802092,DK,False,True,False
www.scandidact.dk/sundhed/aw_pd/file/download/hash/MDozOjNUa0oxaWVxOEJLNk5jeGE1bkVhOXlEb2M5SkVlNWJpeGRzbmw0M3pVbHc9/,DK,False,True,False
michellarasmussen.dk/presse/,DK,False,True,False
lundgreenrideudstyr.dk/shop/226-urtefarm/,DK,False,True,False
eberrybox.dk/login/,DK,False,True,False
edumedia.dk/embed/secure/iframe/entryId/0_pkixpkvz/uiConfId/23448203,DK,False,True,False
livejasmin.dk/chat/bridgetganter,DK,False,True,False
homemadeby.dk/index.php/gavesaet/,DK,False,True,False
www.naturparkrandersfjord.dk/opdag/find-steder/udbyhoej-syd/,DK,False,True,False
middelfart-vk.dk/begivenheder/page/4/,DK,False,True,False
livejasmin.dk/chat/bonnieenderby,DK,False,True,False
www.au.dk/bt.crf@psy.au.dk/,DK,False,True,False
estatistik.dk/virksomhed/sos-dansk-autohjaelp-vestjylland-aps/26249023,DK,False,True,False
min-vinkaelder.dk/produkt_detalje.php?c=9121384,DK,False,True,False
andersen.sdu.dk/brevbase/find/?s=rm50438j48lp5l1n0bvhulllug&helpid=5,DK,False,True,False
www.admiralstrand.dk/owner26/casnew/index.php/reddocs/Logout,DK,False,True,False
www.billeatlas.dk/kort?id=12440&fid=229&b=0&y=0&kv=0&m=0,DK,False,True,False
bellaauto.dk/test/php/test.php,DK,False,True,False
bibod.dk/gal2php7/main.php?g2_view=core.UserAdmin&g2_subView=core.UserLogin&g2_return=%2Fgal2php7%2Fmain.php%3Fg2_itemId%3D36693%26,DK,False,True,False
andersen.sdu.dk/brevbase/find/?s=n1qf6nga56gun6gha4chuneqdj&helpid=6,DK,False,True,False
vores-snedsted.dk/erhverv/bjarne-christensen/d33715f4-ac9e-49a3-4b8c-08d86c2b03da,DK,False,True,False
www2.phabsalon.dk/uddannelser/paedagog/uddannelsen/,DK,False,True,False
evp.dk/index.php?page=portugisiske-sporveje,DK,False,True,False
plrs.dk/index-viborg.htm,DK,False,True,False
oor.dk/staevner/,DK,False,True,False
www.ip-one.dk/ledige-stillinger/,DK,False,True,False
xn--tjbestilling-vjb.dk/login,DK,False,True,False
sparespejder.dk/nordea-job/,DK,False,True,False
noclouds.dk/izabella-kenneth/ik-2-7/,DK,False,True,False
mpala.dk/kold-vinteraften-syd-afrika/,DK,False,True,False
www.danskefilm.dk/kredits.php?id=36547,DK,False,True,False
hairsupport.dk/min-konto/,DK,False,True,False
blaavandnord.dk/index.php/1600-001,DK,False,True,False
