url,country,phishing,reference,language
register.kennelliit.ee/index.php?page=dogCard&dogId=155060,EE,False,True,False
vikerraadio.err.ee/888938/%7B%7Bcontent.url%7D%7D,EE,False,True,False
klassikaraadio.err.ee/978974/%7B%7B'/'%20+%20programSerie.latestContent.id%20+%20'/'%20+%20programSerie.latestContent.fancyUrl%7D%7D,EE,False,True,False
mseesti.ee/index.php,EE,False,True,False
www.nummikas.ee/artikkel/sonn-3xl/,EE,False,True,False
tyriyg.tyri.ee/sites/tyriyg.tyri.ee/files/lisette_haug.pdf,EE,False,True,False
laviniita.ee/?page=161,EE,False,True,False
ehitusleht.ee/silt/neuroloogiline-eripara/,EE,False,True,False
www.looduseomnibuss.ee/content/retk-lahemaale-lennoni-laule-kuulama,EE,False,True,False
www.maaturism.ee/index.php?id=Viron-ruokareitti,EE,False,True,False
kangakoi.ee/saunalina-isadepaevaks/kregor/,EE,False,True,False
www.prismamarket.ee/login?redirect=%2Frecipe%2Fsimilar%3Fguid%3De1deacfdd1f68d95cfed2e28432e581c,EE,False,True,False
citymarina.ee/kaalulanguse-napunaited/oo-kaalulanguse-napunaited-450519.php,EE,False,True,False
automaailm.ee/amordipadi-5142-34-62930030,EE,False,True,False
vaibagalerii.ee/bohem-170-240-632,EE,False,True,False
www.kutseregister.ee/ctrl/et/Standardid_Klassifikaatorid/showAvatuna/10521762,EE,False,True,False
wunderstern.org.ee/huvitavat/,EE,False,True,False
api.jkvolta.ee/noored/,EE,False,True,False
chihu.ee/kiip-voib-paasta-kalli-karvase-sobra/,EE,False,True,False
tervisekool.ee/syndmus/tartu15-i-tsukkel-annely-soots/,EE,False,True,False
r2.err.ee/1608330383/%7B%7Bcontent.url%7D%7D,EE,False,True,False
www.ekabl.ee/id/alleseiris,EE,False,True,False
laadakalender.ee/aasmae-jouluorg/,EE,False,True,False
herta.ee/koolitajad/,EE,False,True,False
www.firmasport.ee/kuldpalli-uldvoidu-vottis-swedbank/,EE,False,True,False
luxvol.ee/index.php/ru/,EE,False,True,False
ontikakoolitus.ee/?id=103673,EE,False,True,False
r2.err.ee/1148405/meloturniir-johannes-vedru,EE,False,True,False
pohiseadus.riigioigus.ee/v1/eesti-vabariigi-pohiseadus/xiii-kohus-ss-146-153/ss-149-kohtuastmete-pohiulesanded,EE,False,True,False
fsspx.ee/yritus/p-petrus-veronast-marter/,EE,False,True,False
tartmus.ee/naitus/kunstikabineti-naitus-jevgeni-zolotko-leigus/,EE,False,True,False
