url,country,phishing,reference,language
www.u-t.hr/site2/loadxer0.php?projekt_id=52,HR,False,True,False
rehabilitacija-vrlika.hr/odrzana-zavrsna-konferencija-jacanje-kapaciteta-ocd-a-radi-ucinkovitijeg-djelovanja-u-zajednici/,HR,False,True,False
www.konzum.hr/web/mt/DINERS-POPUSTI,HR,False,True,False
www.oglasnik.hr/user/signin?next=/mjerni-instrumenti/vaga-500kg-oglas-5232709,HR,False,True,False
mar.hr/?URL=cutt.ly/xw2huPmd/,HR,False,True,False
hrfilm.hr/baza_producent.php?id=248,HR,False,True,False
www.mev.hr/wp-content/uploads/ishodi/odrzivi%20razvoj/3/Rashladna-tehnika.pdf,HR,False,True,False
tz-lastovo.hr/vodic-po-lastovu/naselja/ubli/,HR,False,True,False
cron.com.hr/?mediabay_wpfolder=curent,HR,False,True,False
evol.hr/proizvod/yeastar-s50-billing-app/,HR,False,True,False
www.fondbtvrtkovic.hr/?URL=projectyn.weebly.com,HR,False,True,False
www.ponudadana.hr/web-shop-j-d-o-o--3978x0,HR,False,True,False
savez-dnd.hr/dani-otvorenih-vrata-udruga-u-porecu/,HR,False,True,False
agencija-zolpp.hr/?korisni_linkovi=r-p-z-vrgada,HR,False,True,False
www.zzjziz.hr/index.php?id=148,HR,False,True,False
narodne-novine.nn.hr/clanci/sluzbeni/2011_11_126_2536.html,HR,False,True,False
www.mioc.hr/wp/?p=28645,HR,False,True,False
znk-agram.hr/ekipa/pionirke?v=1713226682,HR,False,True,False
www.otpbanka.hr/otp-banka-potpisala-ugovor-s-gradom-siskom-o-eksternalizaciji-usluga-platnog-prometa,HR,False,True,False
stoling.hr/index.php/pivato-2/,HR,False,True,False
korana.vuka.hr/index.php?id=42&L=180,HR,False,True,False
ivasis-informatika.hr/index.html,HR,False,True,False
komikaze.hr/issue_attachment/65-ziga-sever/ziga-sever_-zigaco_komikaze65-0002/,HR,False,True,False
www.hep.hr/ods/o-nama/publikacije-229/godisnja-izvjesca-230/230,HR,False,True,False
immobili.rinda.hr/hr/realestate/577/kuca-209-m2-prodaja-svetvincenat,HR,False,True,False
www.dom2.hr/interijeri-clanci/ljeto-u-interijeru-kako-ga-unijeti/,HR,False,True,False
www.komunalac-perusic.hr/wp-file-download/komunalno-gospodarstvo-ugovorni-cjenici,HR,False,True,False
www.mioc.hr/wp/?p=21700,HR,False,True,False
www.rotometal-ing.hr/p/A46,HR,False,True,False
www.gastronaut.hr/restorani/splitsko-dalmatinska-zupanija/bol-21420/bracera/4570/,HR,False,True,False
cip.unidu.hr/ms-office-365/,HR,False,True,False
dev.vrtnicentar-geront.hr/projekta/naslov-i-ime-projekta-1/,HR,False,True,False
www.poslovnaucinkovitost.hr/icv-croatian-adriatic-region/kontroling/6.-icv-croatian-adriatic-region-workshop1,HR,False,True,False
vrbovec.hr/wp-content/uploads/2024/01/2.3.tk-i-postanska-mreza.pdf,HR,False,True,False
zavjese.hr/index.html,HR,False,True,False
lsdnz.hr/novost.php?broj=225,HR,False,True,False
sivazona.hr/pages/NM2,HR,False,True,False
ss-valpovo.hr/biblija-u-stripu/,HR,False,True,False
dnd-gradkarlovac.hr/xiogjn/gcvlqb-c.html,HR,False,True,False
www.medskolabjelovar.hr/index.php/knjiznica/,HR,False,True,False
www.vatrogascibuzet.hr/index.php/galerije,HR,False,True,False
