url,country,phishing,reference,language
mobell.hu/kihuzhato-zuhany-cso-nda151w,HU,False,True,False
www.hitelmindenkinek.hu/bankfiokok/otp-bank-tiszaujvaros-szent-istvan-ut-30/,HU,False,True,False
www.focibiro.hu/jatekvezeto/index.php?kod=7751,HU,False,True,False
eunike.hu/eskuvoi-160/ezust-karikagyuruk-199,HU,False,True,False
geocaching.hu/logs.geo?user_id=128712,HU,False,True,False
hegesztes.ktk.bme.hu/index.php?inc=content&menu_id=1292625129&start=100&start=0&start=210&start=220&start=210&start=100&start=50&start=200&start=90&start=220&start=210&start=220&start=210&start=110&start=210&start=180&start=240&start=110&start=220&start=180&start=210&start=100&start=230&start=240&start=220&start=80&start=240&start=230&start=180&start=230&start=180&start=230&start=180,HU,False,True,False
upgrade-pc.hu/termekkategoria/iroda-uzemeltetes-munkavedelem/takarito-kocsi/,HU,False,True,False
www.kezilabda.kvse.hu/csapat/vax-ke-sarbogard/instagram.com/hir.php?id=84,HU,False,True,False
blog.hu/user/587029?token=8d251b3cd5239aebd0c0b6af05b36ca9,HU,False,True,False
indafoto.hu/saso/image/17020821-49dafb8c?token=f7a1abda4bf6a82f195bd01ac7d7815c,HU,False,True,False
btk.kre.hu/index.php/232-az-eg-hajlata-oekogyuelekezet-konferencia.html,HU,False,True,False
www.fairplaytrade.hu/ovodai-butorok-249/kanapek-puffok-286,HU,False,True,False
thasos.hu/index.php/elmenybeszamolok,HU,False,True,False
b2b.intramark.hu/Account/Login?ReturnUrl=%2FProducts%2FProductItem%2F212401-dugattyu-tomites-ptfebr&adminLoginRequired=False,HU,False,True,False
agaboga.hu/content/62,HU,False,True,False
in.hu/kultura/netflix-2656500171,HU,False,True,False
ekormanyzat.kormend.hu/index.php?ugras=hirolvaso&hirszama=71650&nyelv=0,HU,False,True,False
vkajka.hu/index.php/gyerekkonyvtar/az-elso-mesekincstaram-huvelyk-matyi,HU,False,True,False
www.kutyanevnap.hu/nev/244,HU,False,True,False
blog.hu/user/240709?token=d6c1f100567a3d752f3112cddc733bf6,HU,False,True,False
nyuz.elte.hu/top-5-angoltanulos-app/,HU,False,True,False
alberletplaza.hu/ingatlanok/xx-kerulet-csepeli-atjaro/,HU,False,True,False
wellerbolt.hu/weller-wt-2-m-vezerloegyseg-679,HU,False,True,False
homeparts.hu/Vezetek-Vorwerk-130-131-keszulekekhez-7-m,HU,False,True,False
