url,country,phishing,reference,language
rescuedchild.lt/content.php?id=19186,LT,False,True,False
www.partyinbox.lt/karnavalinis-kostiumas-jureive-165-175-cm-m,LT,False,True,False
vikis.lt/alpinistai/index.php/Skriabin,LT,False,True,False
knygufestivalis.lt/peties-snari/hurly-peties-snari-ir-ausys-pirtus.php,LT,False,True,False
shop.diktum.lt/index.php?id=554,LT,False,True,False
sentrakumok.lt/obserwujemy-pomidorki/,LT,False,True,False
www.knygavisiems.lt/lietuvi-autoriai/94798-97396-juodele-petras-pedos-kelyje.html,LT,False,True,False
onelife.lt/arbata/168-arbata-jonazoliu-zole-ac-24vnt.html,LT,False,True,False
rrr.lt/naudotos-autodalys/talbot,LT,False,True,False
www.tikas.lt/dyzelinis-variklis-hm-178f,LT,False,True,False
medexy.lt/oxidance-intensyvus-antioksidacinis-apsauginis-serumas-su-vitaminu-c-40-ml,LT,False,True,False
lk.katalikai.lt/index.php?id=23&mt=2023&mno=11&dno=18,LT,False,True,False
www.kasparobaldai.lt/01010/,LT,False,True,False
www.vssistemos.lt/medzioklei/termovizoriai/hikmicro/hm-ts01-06xf-w-lc06,LT,False,True,False
netiesa.lt/straipsnis/29578/fiokla-kiure-gulsiu-krutine-ant-ambrazuros-uz-lentvario-marginala-valda-bartkeviciu,LT,False,True,False
traversas.lt/lt/226-pusryciai,LT,False,True,False
bnc.lt/EVmg/s/c622bc12cbecab6b6c131e524e67e885fc90a36b2425820ca6e147f0e8aba936,LT,False,True,False
bnc.lt/EVmg/s/70ab5543dd60d8063bf6a403ee7c37ad08c780a3ca84f5cae23b20fe9337f8fb,LT,False,True,False
www.lituanistika.lt/content/15644,LT,False,True,False
www.knygynas.vu.lt/jurate-kiaupiene,LT,False,True,False
www.rvul.lt/index.php/struktura-ir-kontaktai/ligonines-skyriai/skubios-pagalbos-skyrius/,LT,False,True,False
bnc.lt/EVmg/s/3e89e72418f4475c0f9bf31f2c5de662161e515347ff95819d3c2eda873c5bea,LT,False,True,False
www.nemokamiskelbimai.lt/apple-nesiojamu-stacionariu-kompiuteriu-268607.html,LT,False,True,False
svetainiuparduotuve.lt/vyru-nario/jei-varpa-blogai-auga.php,LT,False,True,False
rapolo.lt/index.php/pl/swiatynia,LT,False,True,False
bnc.lt/r2kd/s/6473d7711230dca8919ef38db47ce9f5ef429cbce4da00d78db478ab8c3b732f,LT,False,True,False
www.posakiai.lt/sms-tekstai/meiles-sms-tekstai/meiles-sms-tekstas-175/,LT,False,True,False
rtvm.lt/profesiniu-studiju-galimybiu-pristatymas/,LT,False,True,False
kristausmisija.lt/index.php,LT,False,True,False
ltaid.urm.lt/%7B%7Bcountries.MYT.view_url%7D%7D,LT,False,True,False
giriuaukcionai.lt/uzsakyti-miskininko-paslaugas-siam-sklypui-id-7970/,LT,False,True,False
www.sveikinimai.lt/sms-sveikinimai/meiles-sms/meiles-sms-326/,LT,False,True,False
www.mmm.lt/aktualijos/aplinkos-ministerija-ebpo-darbo-grupeje-pristatyti-akcizu-istatymo-pakeitimai/294525/,LT,False,True,False
www.rrt.lt/d/skambuciu-inicijavimo-viesajame-telefono-rysio-tinkle-teikiamame-fiksuotoje-vietoje-rinka-2/,LT,False,True,False
aukstaitijosgidas.lt/traku-ir-varenos-krastu-kaimo-turizmo-ypatumai-ir-perspektyvos-sodybu-vizitine-kortele/,LT,False,True,False
uzdarbis.lt/t381025/parduodu-fbreklamalt-logo-fb-page-pigu/,LT,False,True,False
saltukas.lt/pristatymas/,LT,False,True,False
metallumnovum.lt/kiemo-vartai-automatika/vartu-furnitura/vartu-spynos/,LT,False,True,False
www.pumpurelis.lt/respublikinis-steam-projektas-snaige-ziemos-karaliene/,LT,False,True,False
lasershop.lt/index.php?id=kaubojaus-kepure-ir-batai-medinis-gaminys-pjautas-lazeriu-00944,LT,False,True,False
www.rescuedchild.lt/content.php?id=7567,LT,False,True,False
ltaid.urm.lt/%7B%7Bcountries.BEL.view_url%7D%7D,LT,False,True,False
www.mfl.lt/index.php?action=Show_Game&id=3437,LT,False,True,False
style4u.lt/preke/peteliske-184/,LT,False,True,False
www.fortema.lt/zodynas/uzmokestis-uz-paspaudimus-ppc-pay-per-click,LT,False,True,False
bnc.lt/6Feb/s/62945129596ad0912eedcb4940b1459492e1a5da215685f5ada656918d544755,LT,False,True,False
chamber.lt/wp-content/uploads/files/21999/712913/GS1_Lithuania%20Shell_Kvietimas%20i%20seminara.pdf,LT,False,True,False
www.snaucerisvet.lt/gydytojai/ula-martyna-kiudulaite/,LT,False,True,False
bnc.lt/AwmV/s/33acdd70db77f72b2d032ccfd703b04826f843bbca95e4c01ebd294ae1bb039a,LT,False,True,False
www.vepriumdc.lt/index.php/stovyklos-dienotvarke,LT,False,True,False
pcbabilonas.lt/pc-planas?location=id72,LT,False,True,False
bnc.lt/6Feb/s/9c613757f6d801e0aa06211d315ba71484fdd9e754ff9c95419c94467df48013,LT,False,True,False
pigu.lt/lt/baldai-ir-namu-interjeras/prieskambario-baldai/batu-spinteles-lentynos-ir-suolai/f/iso-trade,LT,False,True,False
www.beauty24.lt/visos-prekes/dazanti-kauke-plaukams-copper-225-ml-os064111,LT,False,True,False
grdizainas.lt/socialiniu-tinklu-administravimas/facebook-kova-postu-boostinimas-ar-ads-manager-ka-pasirinkti/,LT,False,True,False
vikis.lt/alpinistai/index.php/1982_Elbrusas,LT,False,True,False
www.rescuedchild.lt/content.php?id=8602,LT,False,True,False
uzdarbis.lt/t79014/reikia-telefono/,LT,False,True,False
www.hey.lt/details.php?id=aurika,LT,False,True,False
www.knygavisiems.lt/vadoveliai-ir-pedagogika/2833-vadovliai.html,LT,False,True,False
kotletai.lt/varic-897689.php,LT,False,True,False
www.klinkeriopasaulis.lt/fasadine-klinkerio-plyta-wienerberger-kogelbloem-ws,LT,False,True,False
kristalugalerija.lt/password,LT,False,True,False
laiskailietuviams.lt/index.php/1992m-5-geguze/7459-siluvos-koplycia,LT,False,True,False
www.ecobaltic.lt/lt/kaladeliu-grazinimo-spyruokle-d-216-36-x-163,LT,False,True,False
tennis.lt/zaidejai/?club=2329&license=true&age=senior_35,LT,False,True,False
finances.lt/lietuvos-tyreju-atliktas-tyrimas-parode-kurios-baltijos-salies-jaunuoliai-yra-finansiskai-rastingiausi/,LT,False,True,False
lar.lt/www/new/request.php?1513,LT,False,True,False
bnc.lt/r2kd/s/45ea052cbb85b71487dc877efb96ead732e6ad298ad6533e417e1b886e8c1740,LT,False,True,False
www.piligrimukelias.lt/index.php?id=143&lng=2,LT,False,True,False
bnc.lt/1Hvb/XxCvpxPAVr,LT,False,True,False
www.mmm.lt/aktualijos/a-bilotaite-isaugus-antrinei-migracijai-pagrindiniuose-keliuose-dirba-daugiau-pareigunu-interviu/304343/,LT,False,True,False
www.dalysmotociklams.lt/priekine-stabdziu-zarnele-venhill-t04-1-001-p-wt-baltos-spalvos,LT,False,True,False
gerosnuotaikos.verslimama.lt/zingsniai/19931/,LT,False,True,False
rigra.lt/zemo-slenkscio-paslaugu-pletra-kauno-ir-jonavos-savivaldybese/,LT,False,True,False
rrr.lt/autodaliu-katalogas/variklis/vakuumo-sistema/greicio-palaikymo-siurbliukas,LT,False,True,False
dev.metrika.ldkistorija.lt/tema/140,LT,False,True,False
www.e-tar.lt/portal/lt/legalAct/TAR.A425312B4034,LT,False,True,False
www.music.lt/ads/www/delivery/ck.php?ct=1&n=a71e10ed&cb=151818,LT,False,True,False
plungessaule.lt/elementor-8783/,LT,False,True,False
kapines.klaipeda.lt/public/plots/2809,LT,False,True,False
svetainiuparduotuve.lt/kokie-dydziai/vaisiai-ir-darovs-varpos-augimui.php,LT,False,True,False
muzikosreviu.lt/vaido-baumilos-koncerto-apzvalga-pirmoji-publikos-reakcija-isgirdus-kunigunda-ir-kitos-staigmenos/,LT,False,True,False
www.sveikinimai.lt/sms-sveikinimai/labas-rytas-sms/labas-rytas-sms-17/,LT,False,True,False
www.gyvunugloba.lt/lv/admin-login/user.41;g.61417,LT,False,True,False
solido.lt/vinilines-lenteles-su-click-uzraktu/,LT,False,True,False
www.music.lt/ads/www/delivery/ck.php?ct=1&n=a71e10ed&cb=5044390,LT,False,True,False
www.utena.lt/lt/bendruomeniu-naujienos/77-seniunijos/183-utenos-seniunija,LT,False,True,False
zklubas.draugas.lt/profile/Renata2/,LT,False,True,False
zaliastotele.lt/vazonai-daigyklos-ir-stovai-gelems/plastikiniai-vazonai-ir-lekstutes/vazonai/vazonas-dubuo-lauko-rudas-40-dms09-5905197250892-1555.html,LT,False,True,False
www.smshostingas.lt/lt/nemokamas-hostingas,LT,False,True,False
jaunimieciai.lt/head.php?ite/iid78242xaiutidm349314.html,LT,False,True,False
www.lnkc.lt/get_file.php?file=azJDYXJtdVV5Sk9XbkppbG1KU1huMnFlbU1UTW1KUmhaTmhxcW1tcW1aTEVuV21kYnNURng4bGZtSjVsbGNtZ2s1ZHB4NWVleUo2V3hwT21aR0taMnNpWGI2Qnh6Y3JKeHFPWVlKYk1sNXlUcEpyR2wycWJabU9SWW1Ga3EyVFBtNlJyY215c2x0S1dxWmlZWjhmTWFXUm1hZG5Kb2NTbFo1eVhibU0lM0Q=,LT,False,True,False
www.statybuturgus.lt/203-keramzitbetonio-blokeliai,LT,False,True,False
fidi.lt/preso_klausimas/ar-ff-destytojai-prausiasi/,LT,False,True,False
vtpsi.lrv.lt/uploads/vtpsi/documents/files/3_12.pdf,LT,False,True,False
transadria.lt/site.php/,LT,False,True,False
www.santechnikos-centras.lt/belaidis-vykdomasis-modulis-tech-mw-1,LT,False,True,False
www2405.vu.lt/?p=11297,LT,False,True,False
bnc.lt/EVmg/s/f50809816e33610c2c96a6d749bbd547c0702de95dff496233e232c42e1353db,LT,False,True,False
bnc.lt/EVmg/s/87cd806b06a956b08c6cee19d5b01aadaa22868675d6d4605c8fc2bb1c9d4ef7,LT,False,True,False
bnc.lt/EVmg/s/0a4c6cda813efe9290fb9135f5c45961deff3ee704b20c3c191b7b977e9bd809,LT,False,True,False
www.lrs.lt/docs3/kad5/w5_istorija.show5-p_r=786&p_k=1&p_a=7&p_seim_n_gr_id=32.html,LT,False,True,False
www.zurnalai.vu.lt/problemos/,LT,False,True,False
bnc.lt/AwmV/s/fce20f9673083e3ca1353603f68d1814d2d76e3c750d29f07df93511b3372df0,LT,False,True,False
bnc.lt/6Feb/s/83952f56128e2dd32a0f1e138474be23d30d5b2f7b6f545098f8f51241ea651f,LT,False,True,False
bnc.lt/AwmV/s/a7595e72614a20a5324a787388369b4febdb4bf39978661a62e9ad99328b6265,LT,False,True,False
www.rasyk.lt/user-35725.html,LT,False,True,False
www.bigbeat.lt/index.php/8-muzikantai/118-algirdas-varnagiris,LT,False,True,False
lygus.lt/kampanija-uz-saugia-lietuva-drasina-zmones/,LT,False,True,False
vrservisas.lt/content/3-privatumo-politikos-taisykles,LT,False,True,False
svetainiuparduotuve.lt/erekcija-vyrams/mankta-varpos-didinimo-vyrams.php,LT,False,True,False
