url,country,phishing,reference,language
www.literatura.lv/personas/teodors-hermanis-pantenijs,LV,False,True,False
gimebeles.lv/view.php?id=149,LV,False,True,False
leflatvia.lv/web/?id=422580,LV,False,True,False
www.bmwpower.lv/user.php?u=Domeniks,LV,False,True,False
matpac.lv/de/lieferung,LV,False,True,False
lais.llu.lv/pls/pub/!pub_switcher.main?au=G&page=course_description_pub/GEKO3088/4/1,LV,False,True,False
www.turiba.lv/storage/files/programme_1.pdf,LV,False,True,False
likumi.lv/doc.php?id=86981,LV,False,True,False
www.labdien.lv/lpb-bank-maina-nosaukumu-uz-magnetiq-bank/,LV,False,True,False
mondego.lv/lv/209-naudasmaks,LV,False,True,False
cemety.lv/public/deceaseds/1420162?locale=pl,LV,False,True,False
www.katedrale.lv/index.php?id=25695,LV,False,True,False
www.borvus.lv/5218-liels-koferis-wittchen-56-3p-123-melns.html,LV,False,True,False
aluksniesiem.lv/wp-admin/admin-ajax.php?action=process_simple_like&post_id=40639&nonce=a6ad70f76d&is_comment=0&disabled=true,LV,False,True,False
toptop.lv/karnevala-kostimi.223.g,LV,False,True,False
www.vizionette.lv/rayban-rb-8065-0049a-62-18_32091/,LV,False,True,False
edu.lu.lv/user/profile.php?id=15649,LV,False,True,False
balticket.bilesuserviss.lv/login,LV,False,True,False
www.niid.lv/niid_search?qy=&ct=&tg=&level_2=801&subject_2=812&location=Valmieras%20nov.&learningtype=Pilna%20laika&level_1=8,LV,False,True,False
lvportals.lv/autors/202-viktorija-zuka-nikulina,LV,False,True,False
aluksne.lv/index.php/pieklustamibas-pazinojums/,LV,False,True,False
www.talsusportaskola.lv/vivus-mtb-maratona-sacensibas-starte-ari-sporta-skolas-jaunie-ritenbrauceji/,LV,False,True,False
optio.lv/rayban-rb-3625-919631-62-14_42967/,LV,False,True,False
www.lmt.lv/en/delivery-of-invoices?fid=187,LV,False,True,False
www.cemety.lv/public/deceaseds/1372152?locale=ua,LV,False,True,False
putnidaba.lob.lv/pielikumi/e-pielikumi/,LV,False,True,False
wallstreet.lv/index.php?id=6493&thd=110110&stp=6,LV,False,True,False
www.motopower.lv/user.php?u=lauraiss,LV,False,True,False
fotki.lv/ru/aBoltUS/photo36640302/,LV,False,True,False
zemaize.lv/musu-maize/auzu-parslu-maize/auzu_maize-4smll/,LV,False,True,False
info.iub.gov.lv/lv/meklet/pc/ALTUM%202021%7B%7C%7D11%7B%7C%7DRVD/cc/50103744891/cpv/66516500-5/,LV,False,True,False
fotki.lv/ru/aBoltUS/photo43590837/,LV,False,True,False
football11.step.lv/index.php?a=tour&event=159&cmd=playerbymatches&playerID=98,LV,False,True,False
www.kets.lv/galerija/,LV,False,True,False
