url,country,phishing,reference,language
alcon-sklep.home.pl/pub/wtv531-ga5060_karta_katalogowa.pdf,PL,False,True,False
"elmar-pro.pl/pl,page,urodzajna_gleba_i_wyzsze_plony_kukurydzy_dzieki_prochnicy_glebowej,19,129,198.html",PL,False,True,False
gama.okazjum.pl/psary__/,PL,False,True,False
ogloszenia.malopolska.pl/lokalizacja/pomorskie/,PL,False,True,False
recostudio.pl/index.html,PL,False,True,False
grupabiwakowa.pl/94f38242-554c-4530-bbd3-eb542db5642c_big/,PL,False,True,False
fanibialysport.com.pl/ogloszenie/plyta-plexi-frezowanie-hpl/,PL,False,True,False
sportowefakty.wp.pl/siatkowka/1118017/zaskakujacy-lider-rankingu-ogladalnosci-plusligi,PL,False,True,False
serwer2247173.home.pl/autoinstalator/joomla/index.php/uczniowie/samorzad-uczniowski/102-aktualnosci/749-konkurs-historyczny-rozstrzygniety,PL,False,True,False
solidarnapomoc.pl/bank-polska-kasa-opieki-s-a-pekao-138/,PL,False,True,False
www.wieniawski.pl/henryk_wieniawski_as_vrtuoso_according_to_19th_century_press.html,PL,False,True,False
www.e-podroznik.pl/cenniki-biletow-online/cieplewo-tczew,PL,False,True,False
ichp.vot.pl/index.php/p/issue/view/189,PL,False,True,False
www.polskieradio.pl/Wojciech-Dorosz/Tag172908,PL,False,True,False
sp1kg.pl/aktualnosc-199-rozpoczecie_roku_szkolnego_2022_2023.html,PL,False,True,False
serowar.pl/pl/p/Grusza-zrebki-do-wedzenia-i-grillowania/176,PL,False,True,False
"www.dobreprogramy.pl/klienty-poczty-e-mail,programy,windows,6505378863872129",PL,False,True,False
sir-kielce.pl/index.php/189-189,PL,False,True,False
pgo.suwalki.pl/index.php?m=przetargi&id=192&o=a,PL,False,True,False
interkul.lebork.pl/index.php?/page/51,PL,False,True,False
antaresa.pl/pl/index/2,PL,False,True,False
stadioncity.pl/new/wkwgxmoxgx,PL,False,True,False
krolmeble.pl/z-tworzywa/136-krzeslo-flavio-2200000014597.html,PL,False,True,False
www.olx.pl/d/oferta/sprzedam-kurteczke-zimowa-CID88-IDVFijC.html,PL,False,True,False
"www.weselezklasa.pl/ogloszenia-weselne/alchemia-obrazu,15516/",PL,False,True,False
www.tvtest.pl/sonos-z-obsluga-dts/,PL,False,True,False
mentoring.net.pl/watek/sprzedam-konta-damskie-fb?page=1,PL,False,True,False
olsztyniak.pl/index.php/falszywe-alarmy-bombowe-w-122-szkolach/,PL,False,True,False
moodle.zst.edu.pl/login/index.php,PL,False,True,False
megadance.pl/mccs-v-miejsce-me-dima-natalia/,PL,False,True,False
mkb-madex.pl/zakres-uslug/,PL,False,True,False
vplkgtunce.morebyless.pl/whatpercent27s-otp-mean,PL,False,True,False
www.parafia.miszkowice.pl/3033-2/,PL,False,True,False
ibop.com.pl/audyty/35-audyty-bhp.html,PL,False,True,False
perfectnails.pl/nowe-oblicze-chemii-budowlanej/,PL,False,True,False
stadioncity.pl/new/spnqdewxfk,PL,False,True,False
pbp-ck.parczew.pl/index.php?c=page&id=1,PL,False,True,False
1maja18.pl/zarzadzanie-ryzykiem-inwestycyjnym.htm,PL,False,True,False
umostrow.pl/test1.html,PL,False,True,False
"sekosa.pl/filety-sledziowe-w-sosie-musztardowym,151,pl",PL,False,True,False
ptchem.pl/pl/signup,PL,False,True,False
biura-podrozy.com.pl/index/191604565/2/57f72bdbe47b5d2da4e10d345e9dfd335593f0b63aa94d47b8cf45d4b229960f@43%7CeJyrVkpJLUhRslIyMjAyMTQyNFbSUapIzk9JBQoZmluamVoCBVJSi4FcE1Njk3hjC2MjU6VaAIbPDYs=/,PL,False,True,False
tessreporter.pl/new/wnknmywotg,PL,False,True,False
radbull.pl/pl/c/13x18/194,PL,False,True,False
salonwakacji.pl/index/149329157/0_50a3bc69ba425a622c8a0f80150a4a9b83106a87bf114812c9e43c5258d81042@42%7CeJyrVkpJLUhRslIyMjAyMTQwMlfSUapIzk9JBQoZGpkYGJgBBVJSi0Fc03hDE3MTpVoAXhQM1w==/,PL,False,True,False
"eswidwin.pl/nowosci,main,0,2.html",PL,False,True,False
www.bankobranie.pl/2019/02/6-miesiecy-ok-system-za-darmo-bgz-bnp-paribas.html,PL,False,True,False
pnf.org.pl/walne-zgromadzenie-czlonkow-pnf/,PL,False,True,False
praca.leasingteam.pl/?UID=MTE2MTQzMl8wXzE2NDc=_3,PL,False,True,False
polter.pl/ksiazki/Cos-z-Nightside-fragment-w47334,PL,False,True,False
mtb.pl/latanie-na-dwoch-kolkach-to-moim-zdaniem-esencja-mtb/,PL,False,True,False
www.powiat.nysa.pl/mail-spotkanie_z_przedstawicielami_morowa.html,PL,False,True,False
gratka.pl/motoryzacja/osobowe/opel/zafira/d/uzywane,PL,False,True,False
www.mojanorwegia.pl/u/justyna-trepkowska-justynatrepkowska-117236,PL,False,True,False
jastrzebie.ronald.pl/index.php/o-firmie?ff7b8c1accfad43f2cd26b0c83f1da58=1c19c9b8581a09552927397c8c7471b1,PL,False,True,False
www.automotoraport.pl/pl/naprawy_powypadkowe_mikolow/art_list/0/176/naprawy_powypadkowe_mikolow.html,PL,False,True,False
www.bbms.pl/moduly/index.html,PL,False,True,False
kwejk.pl/zobacz/4025681/dlugi-login.html,PL,False,True,False
wagiradwag.pl/p/przystawka-do-kalibracji-pipet/4677/2XX,PL,False,True,False
swiat-orkiszu.pl/136-miody-i-cukry,PL,False,True,False
odkrywajswiat.pl/index/5103335/4/,PL,False,True,False
umilacz.pl/index.php,PL,False,True,False
"www.grzmiaca.org.pl/p,65,bezpieczenstwo",PL,False,True,False
familyspot.3plus.pl/pl/Razem-zmieniamy-swiat-,PL,False,True,False
www.pelikanteam.pl/index.php,PL,False,True,False
vivaoliva.pl/index.php?strona=skarby-oliwian&nazwisko=d,PL,False,True,False
www.belartesrebro.pl/sklep/skarbonka-samochod-zv6024261/,PL,False,True,False
dobrenarty.pl/blizzard-narty-quatrro-7-4-tpx-160257-dl-174,PL,False,True,False
ekohurt-sklep.pl/sandaly-ochronne-z-metalowym-podnoskiem-urgent-301-p-105.html,PL,False,True,False
sklep.picolino.pl/pl/c/WYPRZEDAZ-ZABAWEK/249/6,PL,False,True,False
sitteo.pl/wp_kamionka/?232%2C110-lecie-harcerstwa-na-ziemi-sadeckiej,PL,False,True,False
allegrolokalnie.pl/oferty/drzwi/drzwi-254580/mosina,PL,False,True,False
stanisz.pl/wycieczka/117,PL,False,True,False
mf3d.com.pl/pl/c/Krzyze/365,PL,False,True,False
bilety24.wp.pl/nfrontbuy/saleend/spid/1192,PL,False,True,False
niecodziennikpary.pl/kaczka-confit/,PL,False,True,False
e-tlumiki.pl/katalizatory-dedykowane/1757-katalizator-citroen-jumpy-dispatch-20i-300-1206--5901436587231.html,PL,False,True,False
dami24.pl/informacje/teledziennik-09042018/11985,PL,False,True,False
jawor24h.pl/ogloszenia,PL,False,True,False
bankienergii.pl/?c=14-237-1,PL,False,True,False
kinoslonce.pl/MSI/mvc/pl/details/%7B%7B%20UrlRez%20%7D%7D,PL,False,True,False
www.webhostingtalk.pl/profile/21457-dzejkob/,PL,False,True,False
synonim.net.pl/babcia-klozetowa/,PL,False,True,False
norwidkrasnystaw.pl/index.php/mlodziezowy-dyskusyjny-klub-filmowy-iluzjon/konkurs-filmowy/relacje,PL,False,True,False
mail.miastokolobrzeg.pl/zapowiedzi/7309-przyjd-i-zao-sobie-konto-warto.html,PL,False,True,False
"swiony.pl/fotoreportaz,wizyta-andrzeja-dudy,891106,891103,47.html",PL,False,True,False
muzyka.nadajemy.pl/index.php?p=register&redir=%2Fzdjecia%2Fid%2F77%2FPlakat.html,PL,False,True,False
fotal.pl/nieruchomosci/zarzadzanie-wspolnotami-online/iqne_zusj,PL,False,True,False
solidarnosc-poczta.pl/index.php?id=aktualnosci&id_wiad=36&cmd=opis,PL,False,True,False
studioniezapominajka.pl/co-dobrze-chlonie-wilgoc/,PL,False,True,False
"www.termedia.pl/mz/Posiedzenie-Zespolu-Trojstronnego-o-co-zaapelowaly-organizacje-pacjenckie-i-przedsiebiorcy-,44500.html",PL,False,True,False
franciszkanska.pl/category/ogloszenia-duszpasterskie/page/39/,PL,False,True,False
"skarbiecmazowiecki.pl/obiekty/cerkiew-sw-jana-klimaka-wolski-warszawa-wolska-138-140-149,1.html",PL,False,True,False
maildesk.pl/?id=3,PL,False,True,False
answalcz.pl/https-pwsz-eu-wp-content-uploads-2021-10-kaufland-absolwent-sprzedaz-pdf/,PL,False,True,False
bns.com.pl/bezpiecznik/bezpiecznik-6x32mm,PL,False,True,False
grazar.pl/screenshoty/borderlands-2/PC/35811236-8c34-4338-a136-03ec4936b509/,PL,False,True,False
lastminutewczasy.pl/index/186202282/2/,PL,False,True,False
www.czesci.info.pl/pl/c/FL912-BFL913/69,PL,False,True,False
bhpodpodszewki.pl/moje-konto/,PL,False,True,False
www.o2.pl/informacje/kiedys-kochaly-go-tlumy-pedofil-gary-glitter-wyszedl-z-wiezienia-przed-czasem-6862541743594080a,PL,False,True,False
"pis.e-grajewo.pl/ogloszenia,komputery-kupie,2.html",PL,False,True,False
bip.celestynow.pl/public/get_file.php?id=358457,PL,False,True,False
manupis.pl/new/yiszrebskh,PL,False,True,False
www.masazeolsztyn.pl/zabiegi/39/fizykoterapia,PL,False,True,False
bip.kielczyglow.pl/index.php?id=179,PL,False,True,False
kominkitarnavva.pl/index.php?p=zam,PL,False,True,False
bilgorajski.pl/rozporzadzenie-wojewody-lubelskiego-ws-ograniczenia-uzywania-wyrobow-pirotechnicznych/,PL,False,True,False
archiwummuzykiwiejskiej.pl/index.php?fraza=stojeszyn,PL,False,True,False
www.sklepdennerle.pl/pl/c/Ulotki/159,PL,False,True,False
cic.wup.opole.pl/pl/legalizacja-pobytu/232-karta-polaka,PL,False,True,False
ksiazki.wp.pl/kartaginskie-ostrze-6146561585313409c,PL,False,True,False
www.galway.pl/newsy/,PL,False,True,False
komandor-dzwirzyno.pl/index.html,PL,False,True,False
wap-rol.agro.pl/,PL,False,True,False
teletransport.pl/zagadnienia/elektryk-samochodowy/,PL,False,True,False
paczkow.pl/58/uzes.html,PL,False,True,False
sklep.praksja.pl/pol_m_Dociazenia-170.html,PL,False,True,False
gabinetmanawa.pl/moje-konto/,PL,False,True,False
www.domiporta.pl/nowe/ogloszenie/miasteczko_nova_ochota_warszawa-wlochy_634212,PL,False,True,False
