url,country,phishing,reference,language
nsp-policija.org.rs/vesti/saopstenje-za-javnost-nezavisnog-sindikata-policije-jedinog-reprezentativnog-sindikata-u-ministarstv.html,RS,False,True,False
ekologija.gornjimilanovac.rs/cat_por/business/,RS,False,True,False
recnaroda.co.rs/bese-nekad-106/,RS,False,True,False
srpskinarodniinfo.co.rs/feljton-2/dosije-dulic/dulic-muckao-s-akumulatorima/,RS,False,True,False
bookmaker-ratings.rs/supported_payments/paypal/,RS,False,True,False
lumiere.rs/objave/ex-yu-region-reklame/bogdan-diklic-misija-iseljenje-erste-banka/,RS,False,True,False
www.amex-lab.rs/laboratorijski-uredjaji/grejni-omotaci/biobase-hme-i100-grejni-omotac-100-ml.html,RS,False,True,False
www.beforeafter.rs/page/165/,RS,False,True,False
www.dimavision.rs/project/118-dana-zarobljenistva-u-ledu/,RS,False,True,False
lingva.rs/online-test/,RS,False,True,False
brainfactory.rs/vizuelna-inteligencija-online-radionica-4/,RS,False,True,False
izprveruke.rs/oznaka/sns/,RS,False,True,False
telesport.rs/verovatnoca-nula-ali-desilo-se-nikoli-jokicu/,RS,False,True,False
gumeproka.rs/racun.php?id=2328,RS,False,True,False
nsp-policija.org.rs/vesti/neradni-dani-za-vreme-predstojecih-praznika.html,RS,False,True,False
poljo.rs/location/perlez/787123,RS,False,True,False
velikogradiste.rs/homepage-3/e4_banner/,RS,False,True,False
primenjena.psihologija.ff.uns.ac.rs/index.php/pp/ais,RS,False,True,False
nsp-policija.org.rs/vesti/sastanak-sa-nacelnikom-ps-nova-varos-nsp-dobija-kancelariju.html,RS,False,True,False
pancevac-online.rs/337955/337955/,RS,False,True,False
batut.org.rs/index.php?content=1941,RS,False,True,False
www.hetnap.rs/rovat/Kozsegeink-eletebol-249.html?page=56,RS,False,True,False
lazarevac.rs/javni-konkursi-i-rasprave/konkurs-za-finansiranje-i-sufinansiranje-sportskih-projekata.html,RS,False,True,False
forms.dostajebilo.rs/,RS,False,True,False
mycupoftea.rs/lekcija-dana-i-pustiti-nekoga-je-isto-ljubav/,RS,False,True,False
www.kovach.rs/index.php?action=profile;u=45985,RS,False,True,False
fss.rs/izvestaj-sa-utakmice/2419552/,RS,False,True,False
bbforum.rs/index.php,RS,False,True,False
sportal.blic.rs/kosarka/nba/suludo-grub-faul-izazvao-haos-i-tucu-u-nba-crnogorac-spasavao-glavu-saigracu-video/2024032213334655130,RS,False,True,False
fss.rs/izvestaj-sa-utakmice/50624/,RS,False,True,False
www.automagazin.rs/vesti/69,RS,False,True,False
srpskanarodnapartija.rs/polaganje-venaca-povodom-dana-pobede-nad-fasizmom/,RS,False,True,False
www.ninewest.rs/just4you-cipele-7just4y-fb-mre,RS,False,True,False
sdcafe.rs/sms-izazov-za-zivot-janje-stamenkovic/,RS,False,True,False
argonautika.co.rs/index.php?id=31,RS,False,True,False
automatika.ftn.uns.ac.rs/teme-za-radove-np,RS,False,True,False
erickson.rs/grupni-koucing/,RS,False,True,False
mostar.mfa.gov.rs/dijasporatext.php?subaction=showfull&id=1348491167&ucat=128&template=MeniENG&,RS,False,True,False
comfy.rs/usisavanje-mbar-kpa/254-254/,RS,False,True,False
kck.org.rs/kultura/index2.php?option=com_content&do_pdf=1&id=674,RS,False,True,False
tehpro.rs/wp-content/uploads/Cepro-katalog_atlas_srp.pdf,RS,False,True,False
nsp-policija.org.rs/0-nekategorizovano/kratak-vodic-kroz-zastitu-privatnosti-u-medijima.html,RS,False,True,False
honorarci.rs/korisnik/trubac-sasa/,RS,False,True,False
www.obucametro.rs/koferi/top-prilika,RS,False,True,False
shoptogo.rs/stabilizatori-napona/14055-stabilizator-napona-1000va.html,RS,False,True,False
kkborac.rs/bitka-za-kotu-broj-1-aba-2-lige/,RS,False,True,False
aquacasa.rs/proizvodi/bojler-talas-xx-100l,RS,False,True,False
www.nspm.rs/politicki-zivot/moj-status-zbog-jednog-spornog-fb-statusa.html,RS,False,True,False
www.ponyshop.rs/velicine-kaciga/l-59-62cm/,RS,False,True,False
vasakucazdravlja.rs/promotivni-paketi/neuroloski-paket-2/,RS,False,True,False
niskevesti.rs/zapalio-automobil-sefici/,RS,False,True,False
help.minimax.rs/help/uvoz-prijemaizdavanja-zaliha-iz-excel-dokumenta,RS,False,True,False
www.auto-tehnika.co.rs/wp-admin/admin-ajax.php?action=carbonick_like&post_id=5619&nonce=77836ca9eb&is_comment=0&disabled=true,RS,False,True,False
kungfusv.org.rs/index.php/upravni-odbor-kvsv/,RS,False,True,False
new-minel.rs/stanovi/ulaz-n-stan-s3/,RS,False,True,False
nbgdvesti.rs/vk-novi-beograd-danas-docekuje-vuljagmeni/,RS,False,True,False
images.google.rs/url?sa=t&url=warga123-link.pages.dev/,RS,False,True,False
nuns.rs/novinski-savet-krsenje-svih-normi/,RS,False,True,False
www.mobilnicentar.rs/index/index/index/artikal/artikal/index/index/index/index/artikal/artikal/index/index/406_Baterije%20za%20kamkordere_,RS,False,True,False
www.caglas.rs/danas-61-rodjendan-zeljka-obradovica/,RS,False,True,False
ultralightrasveta.rs/dimenzije/l-215-w-175-h-230-mm/,RS,False,True,False
