url,country,phishing,reference,language
bkd.si/storitve-digitalnega-marketinga/avtomatizacija-marketinga/,SI,False,True,False
telegrammedo.si/location/ptuj/,SI,False,True,False
kuharija.si/content/kruharije-cukrnije-0,SI,False,True,False
mail.belmond.si/sl/varovanje-osebnih-podatkov,SI,False,True,False
www.tanganyika.si/Tanganjika/Haplotaxodon/Haplotaxodon%20microlepis/index.html,SI,False,True,False
www.help.si/katalogi/v3-3/,SI,False,True,False
zrece.e-obcina.si/objave/230,SI,False,True,False
www.osradlje.si/modri-ali-zeleni-loncki-kateri-bodo-hitrejsi/,SI,False,True,False
vrtec-vodice.si/skupni-zajtrk/,SI,False,True,False
www.popdesign.si/rock4life_project/242/,SI,False,True,False
dvrs.si/wp-content/uploads/Zbornik_spvr_2007.pdf,SI,False,True,False
pirs.si/#/details;uuid=60b6497a-6e3e-4ef6-b943-6516fba44b38,SI,False,True,False
cintare.si/index.php?option=com_user&view=reset,SI,False,True,False
cimet-studio.si/shop/my-account/,SI,False,True,False
seonet.ljse.si/file.aspx?AttachmentID=46236,SI,False,True,False
vrtec-trebnje.si/obisk-naravoslovne-ustvarjalnice/,SI,False,True,False
pisrs.si/Pis.web/pregledPredpisa,SI,False,True,False
www.liveagent.si/integracije/mail-ru/,SI,False,True,False
prvivtis.si/blog/poslovna-fotografija-linkedin/,SI,False,True,False
www.locutio.si/avtorji.php?ID=132&clanek=2535,SI,False,True,False
dev.varuska-ziva.si/pomladni-plastelin-3/,SI,False,True,False
tarokzveza.si/rezultati/8-turnir-skl-tremerje/,SI,False,True,False
www.koropedija.si/index.php/vasi,SI,False,True,False
dankuchenljubljana.si/details/kuhinjski-otok/,SI,False,True,False
pirs.si/#/details;uuid=ae945250-cf61-42ac-b55f-cb53dac29223,SI,False,True,False
td-klopotec.si/o-drustvu/,SI,False,True,False
en.os-danilekumar.si/eventpost/2842.vcs,SI,False,True,False
www.psihologija-ame.si/prispevki/prispevki/zgodovina-in-miti-o-hipnozi,SI,False,True,False
www.dso-ljutomer.si/index.php/varstvo-osebnih-podatkov-obrazci-2,SI,False,True,False
www.zd-slovenskekonjice.si/index.php/dejavnosti-in-zaposleni/farmacevt-svetovalec,SI,False,True,False
infocenter.si/odgovornost-direktorja/,SI,False,True,False
www.sparks.si/wp-admin/admin-ajax.php?ajax=true&action=boxshop_load_quickshop_content&product_id=9878,SI,False,True,False
rdecirevirji.si/arhivi/8067,SI,False,True,False
116050.winknj.si/index.php?NP_NASLOV_START=Y,SI,False,True,False
www.vassvetovalec.si/kriptonovice-13411/ripple-najbolj-a-re-itev-za-ezmejna-pla-ila/kriptonovice-13411/nem-ka-borza-se-spogleduje-s-tehnologijo-blockchain/,SI,False,True,False
help.minimax.si/help/vnos-sestavnic,SI,False,True,False
www.bioportal.si/fotoarhiv.php?iskanec=Rastlinjaki%20in%20ostale%20kmetijske%20konstrukcije,SI,False,True,False
bkm.si/,SI,False,True,False
jursinci.si/objave/229,SI,False,True,False
stenar.si/service/jadralna-padala,SI,False,True,False
vrtec.zgnl.si/aktivi/,SI,False,True,False
pisrs.si/Pis.web/pregledPredpisaEU?celex=32000R2766,SI,False,True,False
iks.zrc-sazu.si/en/posneta-predavanja/,SI,False,True,False
