url,country,phishing,reference,language
sport7.dnes24.sk/175155/slovan-po-postupe-v-ekl-padol-v-ziline-famozny-kapralik-so-4-golmi,SK,False,True,False
www.neosolar.sk/menic-nabijac-victron-energy-multiplus-48v-2000va-25a-32a/,SK,False,True,False
www.mhsr.sk/uploads/files/wlgle0XW.pdf,SK,False,True,False
youtuber.sk/takto-sa-kope-priamy-kop/,SK,False,True,False
hlavne.sk/ekonomika/preprava-bicykla-kurierom-je-s-dhl-malickost/,SK,False,True,False
www.branovo.sk/modules/file_storage/download.php?file=30fa6a2a%7C135&inline=1,SK,False,True,False
www.realestates.sk/user/favourites.php?id=8636469,SK,False,True,False
watson.sk/NZONLINE/chrono-formular.php?id=153567,SK,False,True,False
roskovce.sk/g3d0a-ddd-spazio699bdd42cks2057bd040/,SK,False,True,False
www.brantnergemer.sk/najlepsie-financovanie-auta-sobrance,SK,False,True,False
zsjarovnice.sk/wp-event/velkonocny-pondelok/,SK,False,True,False
rubriky.soks.sk/wp-content/plugins/rubriky/www/pravda/r1969/pr_331.php,SK,False,True,False
www.naradie-priemyselne.sk/pneumaticky-skrutkovac-ingersoll-rand-qs1l20c1d,SK,False,True,False
www.petroaspol.sk/plexi-strieborne-hj17-ems,SK,False,True,False
touchit.sk/facebook-bude-poskytovat-informacie-z-chatu-indickej-policii/216998,SK,False,True,False
hnonline.sk/carovne-slovensko/1850226-jedinecne-muzeum-nedaleko-piestan-najdete-tam-historicke-auta-ci-bicykle,SK,False,True,False
www.telekom.sk/nepodporovany-prehliadac,SK,False,True,False
www.pohodafestival.sk/index.php/webparty/profile/HrQ,SK,False,True,False
www.ta3.sk/IAUC22DB/MDC2022/Roje/pojedynczy_obiekt.php?lporz=00896&kodstrumienia=00442&colecimy=2&kodmin=00003&kodmax=01223&lpmin=00025&lpmax=01712&sortowanie=0,SK,False,True,False
elitera.sk/index.php/copylitera,SK,False,True,False
www.katanracing.sk/index.php/fotogaleriafacebook,SK,False,True,False
www.hav-mnau.sk/b/Apple,SK,False,True,False
www.naps.sk/sk/z-pera-osobnosti/,SK,False,True,False
hiking.dennikn.sk/ga/31670/este_sa_da.html?ref=ga&rn=-3,SK,False,True,False
www.fruugo.sk/manzetove-gombiky/a-193,SK,False,True,False
zverejnovanie.region-bsk.sk/00605808/faktury/dfbv/0255/23/,SK,False,True,False
